listingId,vehicles,vehicleOperable,numVehicles,pickup.city,pickup.state,delivery.city,delivery.state,truckMiles,price,price_per_mile,rv,van,travel trailer,car,atv,suv,pickup,other,motorcycle,heavy equipment,boat
41404733,Car,False,1,gilbert,AZ,tallapoosa,GA,1785.7142857142856,500.0,0.28,0,0,0,1,0,0,0,0,0,0,0
41464618,Car,False,1,scottsdale,AZ,huntsville,AL,1627.906976744186,700.0,0.43,0,0,0,1,0,0,0,0,0,0,0
41464618,Car,False,1,tucson,AZ,bessemer,AL,1578.9473684210527,600.0,0.38,0,0,0,1,0,0,0,0,0,0,0
41464618,Car,False,1,tucson,AZ,arrington,TN,1621.6216216216217,600.0,0.37,0,0,0,1,0,0,0,0,0,0,0
41464618,"Car, Pickup",False,2,chandler,AZ,antioch,TN,3333.3333333333335,1200.0,0.36,0,0,0,1,0,0,1,0,0,0,0
41464618,Sedan Small,False,1,phoenix,AZ,huntsville,AL,1666.6666666666667,600.0,0.36,0,0,0,1,0,0,0,0,0,0,0
41143246,Car,False,1,scottsdale,AZ,tulsa,OK,1048.3870967741937,650.0,0.6199999999999999,0,0,0,1,0,0,0,0,0,0,0
41143246,Car,False,1,chandler,AZ,tulsa,OK,1060.0,477.0,0.45,0,0,0,1,0,0,0,0,0,0,0
41143246,Car,False,1,surprise,AZ,tulsa,OK,1125.0,450.0,0.4,0,0,0,1,0,0,0,0,0,0,0
41143246,Car,False,1,surprise,AZ,springfield,MO,1285.7142857142858,450.0,0.35,0,0,0,1,0,0,0,0,0,0,0
41143246,Car,False,1,chandler,AZ,springfield,MO,1250.0,300.0,0.24,0,0,0,1,0,0,0,0,0,0,0
41438012,Car,False,1,ashland,VA,hammond,IN,762.7118644067797,450.0,0.59,0,0,0,1,0,0,0,0,0,0,0
41438012,Car,False,1,ashland,VA,elmhurst,IL,800.0,400.0,0.5,0,0,0,1,0,0,0,0,0,0,0
41438012,Car,False,1,ashland,VA,hammond,IN,760.8695652173913,350.0,0.46,0,0,0,1,0,0,0,0,0,0,0
41438012,Car,False,1,ashland,VA,hammond,IN,760.8695652173913,350.0,0.46,0,0,0,1,0,0,0,0,0,0,0
41438012,Car,False,1,ashland,VA,hammond,IN,760.8695652173913,350.0,0.46,0,0,0,1,0,0,0,0,0,0,0
41488902,Van,False,1,tucson,AZ,phoenix,AZ,114.28571428571429,200.0,1.75,0,1,0,0,0,0,0,0,0,0,0
41488902,Car,False,1,tucson,AZ,phoenix,AZ,117.1875,150.0,1.28,0,0,0,1,0,0,0,0,0,0,0
41488902,Car,False,1,tucson,AZ,laveen,AZ,123.76237623762376,125.0,1.01,0,0,0,1,0,0,0,0,0,0,0
41488902,SUV,False,1,tucson,AZ,phoenix,AZ,130.6818181818182,115.0,0.88,0,0,0,0,0,1,0,0,0,0,0
