listingId,formattedCompany,comparable,delivery.state,delivery.latitude,delivery.longitude,delivery.city,numVehicles,vehiclesCount,vehicleOperable,vehicles,vehicle_make,vehicle_types,wideLoad,pickup.state,pickup.latitude,pickup.longitude,pickup.city,preferred_shipper,price,truckMiles,rating_count,rating_license,rating_score
41502249,MetroGistics LLC,False,IN,39.761478,-86.160490,indianapolis,1,1,True,(Other),mix mix,(Other),0,PA,40.458938,-75.323708,quakertown,False,400,636,2680,valid,100.0%
41444575,First Choice USA Inc,True,IN,39.679070,-86.127835,indianapolis,1,1,True,(Car),2012 honda fit,(Car),0,PA,41.383570,-75.641619,scranton,False,200,651,1272,valid,99.8%
41395754,First Choice USA Inc,True,IN,39.679070,-86.127835,indianapolis,1,1,True,(Car),2006 toyota prius,(Car),0,PA,40.018505,-76.655886,york,False,175,568,1272,valid,99.8%
41443574,Nationwide Transport Services LLC,True,KS,38.981278,-100.881216,oakley,1,1,True,(Other),"1 ventrac 3000 l 9.2  w 4.6 h 4.1 wt, 1000 lbs",(Other),0,PA,41.045712,-76.428979,bloomsburg,False,700,1434,3518,valid,100.0%
41445214,Reindeer Logistics Inc. (prev. Reindeer Au...,True,KS,38.970626,-94.875746,shawnee,1,1,True,(Car),2008 honda accord sedan ex-l automatic,(Car),0,PA,39.915376,-75.191842,philadelphia,False,575,1154,980,valid,99.4%
41491754,Auto Plaza Usa,True,KY,37.864449,-84.556271,nicholasville,1,1,True,(Car),2016 ford fusion,(Car),0,PA,40.708769,-80.101183,cranberry township,False,225,438,119,valid,96.6%
41502526,Honda World,True,KY,38.159886,-85.521994,louisville,1,1,True,(SUV),2013 buick encore,(SUV),0,PA,40.696516,-75.280817,easton,False,430,694,20,valid,100.0%
41507814,Ready Auto Transport (RAT),True,KY,38.481766,-82.658775,ashland,1,1,True,(Other),2013 gmc terrain,(Other),0,PA,40.542613,-79.955230,glenshaw,False,235,303,1697,valid,99.9%
41358895,PRA Location Services LLC,True,KY,37.978539,-84.368840,lexington,9,3,True,"(7 Car, Pickup, SUV)","2012 ford f-150
 2014 honda cr-v
 (7) 2015 honda accord","(7 Car, Pickup, SUV)",0,PA,40.018505,-76.655886,hellam,False,1400,549,580,valid,100.0%
41481543,Nations Auto Transport,True,KY,36.721388,-84.153265,williamsburg,1,1,True,(SUV),2004 chevrolet tahoe,(SUV),0,PA,40.141793,-74.857137,levittown,False,550,727,1732,valid,100.0%
41485707,Lexus of Louisville,True,KY,38.159886,-85.521994,louisville,1,1,True,(SUV),2015 lexus rx 350,(SUV),0,PA,40.169738,-76.438133,manheim,False,400,621,21,valid,100.0%
