vehicles,vehicleOperable,numVehicles,pickup.city,pickup.state,delivery.city,delivery.state,truckMiles,price,price_per_mile,rv,van,travel trailer,car,atv,suv,pickup,other,motorcycle,heavy equipment,boat
Car,False,1,atlanta,GA,minneapolis,MN,1125.0,450.0,0.4,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,marietta,GA,wayzata,MN,1142.857142857143,400.0,0.35,0,0,0,1,0,0,0,0,0,0,0
Van,False,1,trussville,AL,oaklyn,NJ,861.1111111111111,775.0,0.9,0,1,0,0,0,0,0,0,0,0,0
Pickup,False,1,trussville,AL,westville,NJ,855.2631578947369,650.0,0.76,0,0,0,0,0,0,1,0,0,0,0
Pickup,False,1,trussville,AL,marlton,NJ,873.3333333333334,655.0,0.75,0,0,0,0,0,0,1,0,0,0,0
Pickup,False,1,trussville,AL,marlton,NJ,873.3333333333334,655.0,0.75,0,0,0,0,0,0,1,0,0,0,0
Car,False,1,smyrna,GA,egg harbor twp,NJ,819.672131147541,500.0,0.61,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,huntsville,AL,albuquerque,NM,1228.0701754385966,700.0,0.57,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,birmingham,AL,albuquerque,NM,1228.0701754385966,700.0,0.57,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,marietta,GA,clines corners,NM,1320.754716981132,700.0,0.53,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,marietta,GA,albuquerque,NM,1400.0,700.0,0.5,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,huntsville,AL,albuquerque,NM,1219.5121951219512,500.0,0.41000000000000003,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,greensboro,AL,las vegas,NV,1777.7777777777778,800.0,0.45,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,oxford,MS,las vegas,NV,1647.7272727272727,725.0,0.44,0,0,0,1,0,0,0,0,0,0,0
SUV Small,False,0,birmingham,AL,las vegas,NV,1812.5,725.0,0.4,0,0,0,0,0,0,0,0,0,0,0
Car,False,1,tuscaloosa,AL,fort irwin,CA,1923.076923076923,750.0,0.39,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,oxford,AL,las vegas,NV,1891.8918918918919,700.0,0.37,0,0,0,1,0,0,0,0,0,0,0
SUV,True,1,moss point,MS,newark,NJ,1250.0,500.0,0.4,0,0,0,0,0,1,0,0,0,0,0
SUV,True,1,moss point,MS,linden,NJ,1250.0,500.0,0.4,0,0,0,0,0,1,0,0,0,0,0
SUV,True,1,moss point,MS,rahway,NJ,1250.0,500.0,0.4,0,0,0,0,0,1,0,0,0,0,0
SUV,True,1,moss point,MS,irvington,NJ,1250.0,500.0,0.4,0,0,0,0,0,1,0,0,0,0,0
SUV,True,1,moss point,MS,irvington,NJ,1250.0,450.0,0.36,0,0,0,0,0,1,0,0,0,0,0
