vehicles,in_operation,num_vehicles,origin,destination,price,miles
Pickup,0,1,"san luis obispo, CA","escondido, CA",200,303.03
Car,1,1,"los angeles, CA","carson, CA",50,12.987
Vehicle,0,1,"santa ana, CA","sacramento, CA",225,424.528
Car,0,1,"garden grove, CA","roseville, CA",180,439.024
Car,0,1,"santa maria, CA","concord, CA",250,287.356
Car,0,1,"fremont, CA","long beach, CA",140,388.889
Car,0,1,"fontana, CA","union city, CA",300,416.667
"Car, Car",0,2,"lakewood, CA","thousand oaks, CA",150,131.579
SUV,0,1,"oceanside, CA","hayward, CA",275,450.82
SUV,0,1,"santa rosa, CA","santa fe springs, CA",200,444.444
"Car, Van",1,2,"concord, CA","richmond, CA",200,51.9481
Car,0,1,"oakland, CA","sacramento, CA",175,86.2069
SUV,1,1,"oceanside, CA","commerce, CA",150,83.7989
Pickup,1,1,"clayton, CA","richmond, CA",125,36.9822
Car,0,1,"woodland hills, CA","gardena, CA",70,37.037
Car,0,1,"selma, CA","hayward, CA",100,188.679
Coupe,1,1,"north hollywood, CA","san leandro, CA",250,347.222
SUV,1,1,"north hollywood, CA","lamont, CA",150,87.2093
"Motorcycle, SUV Large",1,2,"pleasanton, CA","oakley, CA",200,114.286
Pickup,1,1,"fremont, CA","long beach, CA",175,388.889
Car,0,1,"cupertino, CA","palm desert, CA",175,472.973
SUV,0,1,"sacramento, CA","seaside, CA",250,196.85
Pickup,0,1,"san martin, CA","gardena, CA",175,330.189
Car,0,1,"thousand oaks, CA","bakersfield, CA",80,111.111
Car,0,1,"hayward, CA","riverside, CA",200,408.163
Car,1,1,"hayward, CA","carson, CA",200,392.157
Car,0,1,"fremont, CA","long beach, CA",175,388.889
Car,0,1,"van nuys, CA","berkeley, CA",325,361.111
Car,1,1,"bay point, CA","downey, CA",175,380.435
Car,1,1,"spring valley, CA","anaheim, CA",100,107.527
"Pickup, Pickup",0,2,"tracy, CA","la mesa, CA",840,893.617
Car,0,1,"beverly hills, CA","carlsbad, CA",200,105.263
SUV,0,1,"carlsbad, CA","fresno, CA",300,312.5
Van,0,1,"newark, CA","costa mesa, CA",175,397.727
Van,1,1,"citrus heights, CA","richmond, CA",125,89.2857
Car,0,1,"oceanside, CA","san diego, CA",65,34.9462
Car,0,1,"rancho cordova, CA","gardena, CA",160,400
Car,0,1,"perris, CA","arcata, CA",300,714.286
SUV,0,1,"sunnyvale, CA","santa fe springs, CA",175,364.583
Car,0,1,"el cajon, CA","arcata, CA",675,784.884
Boat,0,1,"isleton, CA","santa cruz, CA",1000,120.048
Other,0,1,"milpitas, CA","redwood city, CA",525,30
Car,0,1,"san luis obispo, CA","compton, CA",225,200.893
SUV,0,1,"hayward, CA","escondido, CA",225,478.723
Pickup,0,1,"fremont, CA","irvine, CA",175,397.727
Other,0,1,"lake elsinore, CA","ukiah, CA",1250,565.611
SUV,0,1,"sacramento, CA","fresno, CA",200,166.667
Pickup,1,1,"san diego, CA","montebello, CA",100,128.205
Car,0,1,"gardena, CA","los angeles, CA",70,8
SUV,0,1,"valencia, CA","sacramento, CA",170,346.939
"Car, Van",0,2,"pasadena, CA","san rafael, CA",450,789.474
Car,0,1,"oceanside, CA","livermore, CA",300,434.783
Car,0,1,"benicia, CA","san francisco, CA",125,45.9559
Car,0,1,"fontana, CA","sacramento, CA",200,444.444
SUV,0,1,"fontana, CA","long beach, CA",75,64.1026
Pickup,0,1,"pittsburg, CA","anaheim, CA",200,400
Car,0,1,"los angeles, CA","anaheim, CA",85,39.9061
Car,0,1,"petaluma, CA","twentynine palms, CA",350,564.516
Car,0,1,"gardena, CA","san diego, CA",100,117.647
Car,0,1,"rancho cordova, CA","wilmington, CA",200,408.163
"Car, Car, SUV",0,3,"riverside, CA","fresno, CA",405,826.531
"Car, Car, Car, Car, Car, Car",0,6,"rio linda, CA","newark, CA",600,689.655
Van,0,1,"lompoc, CA","norwalk, CA",175,163.551
Van,0,1,"van nuys, CA","riverside, CA",150,73.1707
Other,0,1,"burlingame, CA","tracy, CA",130,64.0394
Pickup,1,1,"turlock, CA","richmond, CA",175,101.156
Van,0,1,"palo alto, CA","mammoth lakes, CA",450,279.503
Car,0,1,"huntington beach, CA","compton, CA",100,22.9885
Car,0,1,"riverside, CA","fontana, CA",60,18.018
Car,0,1,"san francisco, CA","paso robles, CA",200,208.333
Car,0,1,"van nuys, CA","richmond, CA",350,368.421
Car,0,1,"paso robles, CA","paramount, CA",350,224.359
SUV,0,1,"valencia, CA","sunnyvale, CA",225,316.901
Car,0,1,"hawthorne, CA","ontario, CA",58,51.7857
Sedan Midsize,0,1,"redding, CA","los angeles, CA",300,555.556
Car,0,1,"escondido, CA","gardena, CA",100,100
Car,0,1,"long beach, CA","bakersfield, CA",90,120
Other,0,1,"ontario, CA","chula vista, CA",200,127.389
Car,0,1,"upland, CA","riverside, CA",75,30
Car,0,1,"simi valley, CA","bakersfield, CA",100,94.3396
Other,0,1,"corona, CA","tracy, CA",200,363.636
"Car, Car, Car, Pickup, Pickup, Pickup, Pickup, SUV",0,8,"pleasanton, CA","sacramento, CA",750,789.474
Car,0,1,"san francisco, CA","port hueneme, CA",350,368.421
Car,0,1,"richmond, CA","san diego, CA",200,487.805
Car,0,1,"walnut creek, CA","valencia, CA",200,333.333
Car,0,1,"los angeles, CA","sacramento, CA",275,398.551
Car,1,1,"hayward, CA","los angeles, CA",200,363.636
SUV,0,1,"san luis obispo, CA","berkeley, CA",250,238.095
SUV,0,1,"oakland, CA","santa clara, CA",175,43.9698
"Car, Car",0,2,"mira loma, CA","montebello, CA",140,80
"Car, Car, Car, Car",0,4,"san francisco, CA","murrieta, CA",1100,1833.33
Car,0,1,"pasadena, CA","port hueneme, CA",175,66.0377
SUV,0,1,"bloomington, CA","compton, CA",100,59.1716
SUV,0,1,"fremont, CA","sacramento, CA",95,111.765
Pickup,0,1,"sacramento, CA","whittier, CA",225,394.737
SUV,1,1,"fresno, CA","carson, CA",200,243.902
SUV,0,1,"santa rosa, CA","sacramento, CA",125,110.619
Vehicle,0,1,"concord, CA","marina, CA",225,117.188
SUV,0,1,"burbank, CA","san jose, CA",300,329.67
SUV,0,1,"san diego, CA","tracy, CA",300,441.176
Car,0,1,"south san francisco, CA","upland, CA",185,420.455
Car,0,1,"sunnyvale, CA","roseville, CA",125,137.363
SUV,0,1,"van nuys, CA","anaheim, CA",75,51.0204
Car,0,1,"el cajon, CA","costa mesa, CA",125,101.626
Car,0,1,"goleta, CA","oakland, CA",200,303.03
Pickup,0,1,"woodland, CA","concord, CA",250,75.0751
Car,0,1,"hayward, CA","ontario, CA",150,394.737
SUV,0,1,"beverly hills, CA","sacramento, CA",300,384.615
Car,0,1,"hayward, CA","costa mesa, CA",250,403.226
