vehicles,in_operation,num_vehicles,origin,destination,price,miles,total_weight
"Sedan Midsize, Sedan Midsize",0,2,"los angeles, CA","san rafael, CA",585,790.541,6994
Car,0,1,"san francisco, CA","placentia, CA",175,416.667,3497
SUV,1,1,"martinez, CA","carson, CA",200,392.157,4259
Car,0,1,"riverside, CA","seaside, CA",275,381.944,3497
Car,0,1,"stanton, CA","port hueneme, CA",150,85.2273,3497
Car,0,1,"anaheim, CA","san diego, CA",100,98.0392,3497
Car,1,1,"santa maria, CA","north hollywood, CA",400,156.25,3497
SUV,0,1,"san diego, CA","bakersfield, CA",118,214.545,4259
Car,0,1,"van nuys, CA","sunnyvale, CA",250,337.838,3497
SUV Large,0,1,"huntington beach, CA","crescent city, CA",900,833.333,5411
"Car, Car",0,2,"oceanside, CA","anaheim, CA",225,136.364,6994
Car,0,1,"sylmar, CA","santa clara, CA",200,338.983,3497
Car,0,1,"colton, CA","anaheim, CA",75,39.0625,3497
SUV,0,1,"san diego, CA","gardena, CA",125,104.167,4259
Car,0,1,"mountain view, CA","playa vista, CA",250,352.113,3497
Car,0,1,"fremont, CA","santa ana, CA",175,388.889,3497
Car,1,1,"fontana, CA","anaheim, CA",75,35.0467,3497
Van,0,1,"sonoma, CA","sacramento, CA",225,78.125,4500
SUV,0,1,"costa mesa, CA","placentia, CA",60,18.9873,4259
SUV,0,1,"el monte, CA","sacramento, CA",250,390.625,4259
"Car, Car, SUV",1,3,"fontana, CA","long beach, CA",240,180.451,11253
Sedan Midsize,0,1,"san jose, CA","san diego, CA",200,444.444,3497
Car,1,1,"san diego, CA","anaheim, CA",150,111.94,3497
SUV,0,1,"los angeles, CA","san jose, CA",225,346.154,4259
Pickup,1,1,"colton, CA","perris, CA",150,25.9965,6000
SUV,0,1,"atascadero, CA","long beach, CA",300,238.095,4259
Car,0,1,"canoga park, CA","long beach, CA",125,49.0196,3497
Car,0,1,"los angeles, CA","sacramento, CA",190,387.755,3497
"SUV, SUV, SUV",0,3,"folsom, CA","hayward, CA",255,369.565,12777
"Car, Car, Car, Car, Car",0,5,"riverside, CA","oxnard, CA",325,590.909,17485
Pickup,0,1,"carlsbad, CA","long beach, CA",300,75.9494,6000
SUV,0,1,"bellflower, CA","san francisco, CA",250,403.226,4259
Car,0,1,"paramount, CA","woodland hills, CA",85,42.0792,3497
"Car, SUV",0,2,"tracy, CA","modesto, CA",110,79.7101,7756
"Car, Car",0,2,"north hollywood, CA","carson, CA",150,73.8916,6994
SUV,1,1,"carmichael, CA","santa fe springs, CA",200,408.163,4259
Car,0,1,"sacramento, CA","corona, CA",200,444.444,3497
Car,0,1,"santa ana, CA","fontana, CA",85,46.9613,3497
Car,0,1,"Fresno, CA","San Diego, CA",200,338.983,3497
Pickup,1,1,"bay point, CA","fontana, CA",300,410.959,6000
Car,0,1,"encinitas, CA","anaheim, CA",100,75.188,3497
SUV,0,1,"pleasanton, CA","murrieta, CA",225,424.528,4259
Pickup,0,1,"elk grove, CA","pleasanton, CA",150,81.0811,6000
Pickup,0,1,"colton, CA","gardena, CA",125,66.8449,6000
Car,0,1,"sacramento, CA","paramount, CA",300,410.959,3497
SUV,0,1,"hayward, CA","sacramento, CA",100,102.041,4259
SUV Small,0,1,"hanford, CA","long beach, CA",200,222.222,3470
SUV,0,1,"san jose, CA","mission viejo, CA",175,388.889,4259
Car,0,1,"greenbrae, CA","oakland, CA",125,21.0084,3497
SUV,0,1,"sacramento, CA","chula vista, CA",200,512.821,4259
Car,0,1,"healdsburg, CA","laguna hills, CA",400,493.827,3497
Pickup,0,1,"martinez, CA","fresno, CA",120,187.5,6000
SUV,1,1,"davenport, CA","santa cruz, CA",75,12.9983,4259
"Car, Car",0,2,"corona, CA","thousand oaks, CA",140,184.211,6994
SUV,1,1,"north hollywood, CA","anaheim, CA",100,52.0833,4259
Car,1,1,"pittsburg, CA","long beach, CA",175,406.977,3497
Car,1,1,"hayward, CA","paramount, CA",175,380.435,3497
Car,1,1,"pittsburg, CA","anaheim, CA",250,396.825,3497
Car,0,1,"riverside, CA","bakersfield, CA",135,146.739,3497
Car,0,1,"national city, CA","ontario, CA",100,112.36,3497
Car,0,1,"upland, CA","san diego, CA",100,108.696,3497
Car,1,1,"gardena, CA","carson, CA",50,8,3497
Car,0,1,"fremont, CA","north hollywood, CA",175,343.137,3497
Car,0,1,"colton, CA","carson, CA",75,65.7895,3497
Car,1,1,"hayward, CA","carson, CA",175,380.435,3497
Car,0,1,"fontana, CA","carson, CA",95,60.1266,3497
Car,0,1,"tracy, CA","santa ana, CA",150,357.143,3497
Car,0,1,"long beach, CA","anaheim hills, CA",125,31.9693,3497
SUV,0,1,"la jolla, CA","eureka, CA",500,757.576,4259
Car,0,1,"fontana, CA","hayward, CA",200,400,3497
