listingId,formattedCompany,comparable,delivery.state,delivery.latitude,delivery.longitude,numVehicles,vehiclesCount,vehicleOperable,vehicles,wideLoad,pickup.state,pickup.latitude,pickup.longitude,preferred_shipper,price,rating_count,rating_license,rating_score
41484830,Stateway Auto Transportation,1,NM,35.576264,-106.106230,1,1,1,(Car),0,AL,34.121219,-85.592660,0,650,2429,1,98.9%
41489548,RoadRunner Auto Transport,1,NV,36.060082,-115.264440,1,1,1,(Car),0,AL,33.173002,-87.613500,0,1400,2593,1,100.0%
41419145,AF Import-Export Shipping,1,NY,40.829330,-73.908134,1,1,1,(Car),0,AL,33.462639,-87.092621,0,500,225,0,99.6%
41485997,Summit Motors Corp,1,NY,40.829982,-73.865990,1,1,0,(SUV),0,AL,30.808850,-88.178103,0,400,179,1,99.4%
41418272,Reindeer Logistics Inc. (prev. Reindeer Au...,1,OH,41.536223,-83.564239,1,1,1,(Car),0,AL,33.855077,-85.775960,0,500,983,1,99.4%
41485795,Germain Lexus of Dublin,1,OH,40.117802,-83.135870,1,1,1,(Car),0,AL,32.369423,-86.159596,0,425,73,1,100.0%
41363195,Simell LLC,1,OH,41.677620,-81.329808,1,1,0,(Other),0,AL,34.662910,-86.988182,0,900,25,1,100.0%
41480914,Viceroy Auto Trans,1,OR,45.533458,-122.681501,1,1,1,(SUV),0,AL,33.399602,-86.682992,0,875,449,1,100.0%
41480558,Southwest A/T LLC (prev. Falconer Towing L...,0,PA,40.786815,-77.844376,1,1,1,(Car),0,AL,33.677138,-85.919920,0,450,274,1,97.8%
41488237,ShipYourCarNow LLC,1,PA,39.951061,-75.165620,1,1,1,(Car),0,AL,33.520800,-86.802700,0,400,3259,1,99.8%
41489478,Stateway Auto Transportation,1,PA,39.951061,-75.165620,1,1,1,(Car),0,AL,33.648641,-86.699286,0,350,2429,1,98.9%
41485190,Montway Inc- Relocation,1,PA,41.408800,-75.662600,1,1,1,(Car),0,AL,33.520800,-86.802700,0,350,257,1,100.0%
41482716,Montway Inc- Relocation,1,PA,41.114900,-76.828763,1,1,1,(Car),0,AL,34.052526,-85.928538,0,350,257,1,100.0%
41447953,Interstate Transportation Systems Corp,0,PA,40.188486,-75.148777,1,1,0,(Other),0,AL,33.811750,-87.283490,0,1000,24,1,100.0%
41440333,Direct Express Auto Transport,1,SC,32.821494,-79.852362,1,1,1,(Car),0,AL,30.604252,-87.858161,0,350,650,1,98.6%
41492198,Ready Auto Transport (RAT),1,SC,33.096430,-80.195270,1,1,1,(Other),0,AL,32.896902,-85.255222,0,210,1699,1,99.9%
41486483,Georgetown Auto Sales Inc.,1,SC,33.387012,-79.381422,1,1,1,(Pickup),0,AL,30.593573,-88.189340,0,375,118,1,100.0%
41489230,All Pro Installations,1,TN,35.929939,-86.462967,1,1,0,(Van),0,AL,33.627296,-86.653268,0,250,375,1,100.0%
41492002,Ready Auto Transport (RAT),1,TN,36.175305,-86.490896,1,1,0,(Other),0,AL,31.146161,-85.412448,0,280,1699,1,99.9%
41492585,United Road Logistics LLC,1,TN,35.908356,-86.777932,1,0,1,(Pickup),0,AL,31.146161,-85.412448,0,190,1167,1,98.7%
41483778,Flat Rock Auto Parts and Salvage,1,TN,35.892497,-86.316986,1,1,0,(Car),0,AL,30.808850,-88.178103,0,200,108,1,100.0%
41486738,AutoMax of Memphis,1,TN,35.222170,-89.922165,2,2,1,"(Car, Pickup)",0,AL,30.383821,-87.715678,0,400,1,1,100.0%
41464767,Wholesale Inc,1,TN,36.255363,-86.698270,1,1,1,(Car),0,AL,34.407120,-85.704552,0,75,1162,1,99.6%
41481289,FXW Transport,0,TN,36.278882,-86.273680,2,2,1,(2 Car),0,AL,34.673300,-86.752100,0,180,98,1,98.0%
41489140,MetroGistics LLC,1,TN,35.918284,-83.999908,1,1,1,(Car),0,AL,30.665624,-88.103864,0,375,2680,1,100.0%
41486294,Carsarrive Network Inc.,1,TN,35.904504,-83.843877,1,1,1,(Car),0,AL,33.603374,-86.494434,0,210,953,1,99.4%
41464509,Wholesale Inc,0,TN,36.166687,-86.779932,2,1,1,(2 Car),0,AL,33.928320,-86.096080,0,200,408,1,97.7%
41486941,Grayson BMW,1,TN,35.856007,-84.100953,1,1,1,(SUV),0,AL,33.179757,-86.225824,0,200,177,1,99.4%
41487232,MCM Custom Vehicles LLC,1,TN,35.209922,-89.791936,1,1,1,(Pickup),0,AL,33.646880,-86.573870,0,195,247,1,100.0%
41487356,MCM Custom Vehicles LLC,1,TN,35.091114,-89.658597,1,1,1,(Pickup),0,AL,33.646880,-86.573870,0,180,247,1,100.0%
41487484,MCM Custom Vehicles LLC,1,TN,35.222170,-89.922165,1,1,1,(Pickup),0,AL,33.646880,-86.573870,0,195,247,1,100.0%
41346975,BWT Group LLC,1,TN,36.143122,-86.589654,1,1,1,(Car),0,AL,32.777300,-85.147300,0,150,1034,1,98.3%
41477822,Armando Automotive,0,TX,32.780000,-96.800000,1,1,0,(Car),0,AL,33.519260,-86.807546,0,300,263,1,98.9%
41375041,Reindeer Logistics Inc. (prev. Reindeer Au...,1,TX,30.500628,-97.630248,1,1,1,(Car),0,AL,30.604252,-87.858161,0,550,983,1,99.4%
41484875,Carsarrive Network Inc.,1,TX,29.648254,-95.140251,1,1,1,(Car),0,AL,34.620893,-87.013675,0,495,953,1,99.4%
41475843,Elite International Trucking LLC,1,TX,29.652842,-95.283357,1,1,0,(Other),0,AL,31.365057,-85.316170,0,275,259,1,99.2%
41133928,Auto Transport 123,1,TX,30.002821,-95.394132,1,1,1,(SUV),0,AL,34.669181,-86.560310,0,350,2304,1,100.0%
41435527,Emarat Shipping Inc 1,1,TX,29.682276,-95.257164,1,1,1,(Other),0,AL,33.855077,-85.775960,0,450,807,1,99.2%
41414402,Chicago Autoplex Inc,1,TX,32.982239,-97.384485,1,1,0,(Car),0,AL,30.665624,-88.103864,0,300,93,1,100.0%
41424482,Southeast Auto Movers LLC,0,TX,32.780000,-96.800000,1,1,1,(Car),0,AL,30.666570,-88.266256,0,325,37,1,97.3%
41475997,"Royal Oak Motors,Inc",0,TX,29.765500,-95.359200,1,1,1,(Car),0,AL,30.694500,-88.043100,0,200,106,1,99.1%
41427401,Superior Quality Inc,1,TX,29.832593,-95.648185,1,1,1,(Car),0,AL,32.491480,-85.031052,0,350,692,1,100.0%
41420369,Olympus Xclusive Transporters LLC,1,UT,40.756587,-111.901214,1,1,1,(SUV),0,AL,30.694500,-88.043100,0,741,66,1,100.0%
41475920,"Mercury Auto Transport, Inc.",1,UT,40.756587,-111.901214,1,1,1,(SUV),0,AL,30.665624,-88.103864,0,1000,2712,1,100.0%
41476815,BWT Group LLC,1,UT,40.756587,-111.901214,1,1,1,(SUV),0,AL,30.665624,-88.103864,0,1000,1034,1,98.3%
41450290,"Mercury Auto Transport, Inc.",1,VA,38.736614,-77.546642,1,1,1,(Other),0,AL,31.419842,-86.089185,0,450.01,2712,1,100.0%
41471182,Secure Auto Shipping Inc. 1,0,VA,39.192409,-77.625300,1,1,1,(Car),0,AL,34.673300,-86.752100,0,350,1997,1,100.0%
41442672,Smart Talk Transport Inc,1,VA,39.192409,-77.625300,1,1,1,(Car),0,AL,34.897392,-86.709413,0,350,380,1,98.9%
41466680,Auto Transport 123,1,VT,44.279964,-72.609412,1,1,1,(Pickup),0,AL,33.508460,-86.738661,0,750,2304,1,100.0%
41366570,Acme Auto Shipping,1,WA,47.413900,-122.198090,1,1,1,(Car),0,AL,34.765786,-87.108167,0,900,1426,1,100.0%
41298572,Auto Transport 123,0,WA,45.679855,-122.649732,1,1,1,(Car),0,AL,33.519260,-86.807546,0,825,2304,1,100.0%
41396438,Allied Auto Shippers LLC,1,WA,47.295332,-122.622708,1,1,1,(SUV),0,AL,33.456572,-86.860266,0,1000,477,1,100.0%
41465426,RoadRunner Auto Transport,1,WA,47.259358,-122.396924,1,1,1,(SUV),0,AL,31.146161,-85.412448,0,1000,2593,1,100.0%
41444227,Freedom Auto Transport LLC,1,WA,47.451974,-120.330783,1,1,1,(Car),0,AL,30.482441,-87.866974,0,1300,2108,1,100.0%
